Nem;Stílus;Csoport;Gyakorlat;Súlycsoport;Név;Egyesület;Születési év;Testsúly;Eredmény;Dátum;Helyszín;Verseny
Férfi;EQ;Open;Összetett;-59kg;alaprekord;;;;520,0;2011.01.01;;
Férfi;EQ;Open;Összetett;-66kg;Somodi Vince;Jászladányi Egyetértés SE;1995;63,41;605,0;2018.05.06-12;Pilsen (CZE);Erőemelő Európa Bajnokság
Férfi;EQ;Open;Összetett;-74kg;alaprekord;;;;650,0;2011.01.01;;
Férfi;EQ;Open;Összetett;-83kg;Fekete Miklós;Avas TK;1973;82,70;810,0;2011.05.05;Pilsen (CZE);Erőemelő Európa Bajnokság
Férfi;EQ;Open;Összetett;-93kg;Horváth Péter;Flex SE;1991;92,30;812,5;2014.10.04-05;Gyula;Erőemelő Magyar Bajnokság
Férfi;EQ;Open;Összetett;-105kg;Opra Gergő;Barcsi VSE;1994;101,85;850,0;2016.12.17;Budapest;Erőemelő Magyar Bajnokság
Férfi;EQ;Open;Összetett;-120kg;Sánta László;Tölgy Fitness;1986;117,50;910,0;2015.09.19;Orosháza;Erőemelő Magyar Bajnokság
Férfi;EQ;Open;Összetett;120+kg;Mikula Norbert;Bihari SE;1993;144,00;891,0;2011.10.07-09;Budapest;Erőemelő Magyar Bajnokság
Férfi;EQ;Open;Guggolás;-59kg;Orosi Tamás;Mérk Kinizsi SE;1996;58,10;170,0;2016.12.17;Budapest;Erőemelő Magyar Bajnokság
Férfi;EQ;Open;Guggolás;-66kg;Somodi Vince;Jászladányi Egyetértés SE;1995;63,80;225,0;2018.05.06-12;Pilsen (CZE);Erőemelő Európa Bajnokság
Férfi;EQ;Open;Guggolás;-74kg;Rácz Dávid;Mérk Kinizsi SE;1996;73,75;240,0;2014.10.04-05;Gyula;Erőemelő Magyar Bajnokság
Férfi;EQ;Open;Guggolás;-83kg;Fekete Miklós;Avas TK;1976;82,70;320,0;2011.05.05;Pilsen (CZE);Erőemelő Európa Bajnokság
Férfi;EQ;Open;Guggolás;-93kg;Horváth Péter;Flex SE;1991;92,30;322,5;2014.10.04-05;Gyula;Erőemelő Magyar Bajnokság
Férfi;EQ;Open;Guggolás;-105kg;Kulcsár Dávid;KeletEreje Nyíregyháza;1995;102,90;317,5;2020.09.12-13;Szombathely;RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Open;Guggolás;-120kg;Sánta László;Tölgy Fitness;1986;117,50;320,0;2015.09.19;Orosháza;Erőemelő Magyar Bajnokság
Férfi;EQ;Open;Guggolás;120+kg;Szabó Zsolt;Földesi Titán SE;1975;160,10;360,0;2014.10.04-05;Gyula;Erőemelő Magyar Bajnokság
Férfi;EQ;Open;Fekvenyomás;-59kg;alaprekord;;;;145,0;2011.01.01;;
Férfi;EQ;Open;Fekvenyomás;-66kg;Molnár Gábor;RKA Erőművek SE;1978;65,96;160,0;2018.10.27-28;Orosháza;Masters RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Open;Fekvenyomás;-74kg;Nemes Róbert;Marvel Team SE;1986;73,75;195,0;2011.10.07-09;Budapest;Erőemelő Magyar Bajnokság
Férfi;EQ;Open;Fekvenyomás;-83kg;alaprekord;;;;225,0;2011.01.01;;
Férfi;EQ;Open;Fekvenyomás;-93kg;alaprekord;;;;240,0;2011.01.01;;
Férfi;EQ;Open;Fekvenyomás;-105kg;Sebestyén Tamás;Sebi Gym SE;1980;103,45;295,0;2014.10.04-05;Gyula;Erőemelő Magyar Bajnokság
Férfi;EQ;Open;Fekvenyomás;-120kg;Kovács Ferenc;Orosházi Toldi SE;1988;115,55;270,5;2013.12.14-15;Budapest;Erőemelő Magyar Bajnokság
